Corrida,Pos.,PID,Llegada,Burst,Inicio,Fin,TAT,WT,RT
1,1,P2,0,12,0,12,12,0,0
1,2,P1,10,2,12,14,4,2,2
1,3,P5,11,2,14,16,5,3,3
1,4,P4,3,3,16,19,16,13,13
1,5,P3,4,4,19,23,19,15,15
1,6,P6,10,12,23,35,25,13,13
2,1,P6,3,8,3,11,8,0,0
2,2,P3,7,1,11,12,5,4,4
2,3,P2,12,1,12,13,1,0,0
2,4,P1,11,5,13,18,7,2,2
2,5,P4,8,11,18,29,21,10,10
2,6,P5,5,14,29,43,38,24,24
3,1,P3,7,4,7,11,4,0,0
3,2,P1,9,1,11,12,3,2,2
3,3,P4,10,3,12,15,5,2,2
3,4,P6,7,4,15,19,12,8,8
3,5,P2,9,10,19,29,20,10,10
3,6,P5,7,15,29,44,37,22,22
4,1,P5,3,4,3,7,4,0,0
4,2,P3,6,3,7,10,4,1,1
4,3,P2,8,6,10,16,8,2,2
4,4,P1,11,2,16,18,7,5,5
4,5,P4,3,9,18,27,24,15,15
4,6,P6,8,9,27,36,28,19,19
5,1,P5,0,11,0,11,11,0,0
5,2,P1,6,1,11,12,6,5,5
5,3,P6,4,4,12,16,12,8,8
5,4,P4,2,12,16,28,26,14,14
5,5,P2,10,12,28,40,30,18,18
5,6,P3,6,15,40,55,49,34,34
